0 | Moisei | Valea Vișeului | Rona de Sus | Bogdan Vodă | Botiza | Vișeu de Jos | Petrova | Leordina | Ruscova | Bocicoel | Șieu | Ieud | Strâmtura | Bârsana | Bistra | Glod | Slătioara | Lunca la Tisa | Firiza | Valea Neagră | Blidari | Remeți | Săpânța | Câmpulung la Tisa | Sarasău | Ardusat | Mogoșești | Hideaga | Colțirea | Tămaia
Moisei | 0 | 41 | 47 | 22 | 30 | 16 | 33 | 27 | 25 | 18 | 25 | 24 | 34 | 41 | 36 | 36 | 36 | 50 | 72 | 71 | 72 | 77 | 73 | 69 | 64 | 89 | 86 | 85 | 86 | 89
Valea Vișeului | 41 | 0 | 9 | 26 | 27 | 26 | 9 | 16 | 17 | 27 | 22 | 27 | 16 | 13 | 6 | 21 | 19 | 9 | 45 | 43 | 43 | 39 | 35 | 30 | 25 | 66 | 67 | 66 | 65 | 69
Rona de Sus | 47 | 9 | 0 | 29 | 27 | 31 | 14 | 20 | 22 | 31 | 24 | 29 | 16 | 9 | 12 | 19 | 17 | 6 | 36 | 34 | 34 | 31 | 27 | 22 | 17 | 58 | 59 | 57 | 57 | 61
Bogdan Vodă | 22 | 26 | 29 | 0 | 9 | 8 | 17 | 11 | 11 | 4 | 5 | 3 | 13 | 21 | 20 | 14 | 15 | 33 | 50 | 49 | 50 | 57 | 53 | 50 | 44 | 68 | 66 | 64 | 65 | 69
Botiza | 30 | 27 | 27 | 9 | 0 | 17 | 19 | 15 | 16 | 13 | 8 | 6 | 12 | 18 | 22 | 8 | 10 | 32 | 42 | 41 | 42 | 52 | 48 | 46 | 40 | 59 | 57 | 55 | 56 | 60
Vișeu de Jos | 16 | 26 | 31 | 8 | 17 | 0 | 18 | 11 | 10 | 5 | 11 | 11 | 18 | 25 | 20 | 21 | 21 | 35 | 57 | 56 | 57 | 62 | 57 | 53 | 48 | 76 | 74 | 72 | 73 | 77
Petrova | 33 | 9 | 14 | 17 | 19 | 18 | 0 | 6 | 8 | 18 | 13 | 18 | 9 | 11 | 3 | 15 | 13 | 17 | 46 | 44 | 45 | 45 | 41 | 36 | 31 | 66 | 66 | 65 | 65 | 69
Leordina | 27 | 16 | 20 | 11 | 15 | 11 | 6 | 0 | 3 | 12 | 8 | 13 | 9 | 15 | 9 | 14 | 13 | 23 | 48 | 47 | 47 | 50 | 46 | 42 | 37 | 68 | 67 | 66 | 66 | 70
Ruscova | 25 | 17 | 22 | 11 | 16 | 10 | 8 | 3 | 0 | 10 | 8 | 13 | 11 | 17 | 11 | 16 | 15 | 25 | 51 | 50 | 50 | 53 | 48 | 44 | 39 | 71 | 70 | 68 | 69 | 72
Bocicoel | 18 | 27 | 31 | 4 | 13 | 5 | 18 | 12 | 10 | 0 | 8 | 7 | 16 | 24 | 21 | 18 | 18 | 35 | 54 | 53 | 54 | 60 | 56 | 52 | 47 | 72 | 70 | 68 | 69 | 73
